OBJECTID,Join_Count,TARGET_FID,name,area_km2,Assessed_Value_Sum,Avg_Assessed_Value,Ward,c2016_Less_than_30K,c2016_30K_to_60K,c2016_60K_to_100K,c2016_100K_to_125K,c2016_125K_to_150K,c2016_150K_to_200K,c2016_200K_to_250K,c2016_250K_or_more,c2016_No_Response,Pct_less_than_30k,Pct_less_than_60k,Pct_less_than_100k,Pct_less_than_150k,Pct_less_than_200k,Pct_less_than_250k,TotalPct_Unresponsive,TotalPct_Responsive,Sum_Responsive,Pct_less_than_125K,Pct_LowIncome_less_than_60K,Pct_MiddleClass_60K_to_150K,Pct_Over_150K,LI_greater_than_MC,Shape_Length,Shape_Area,Pct_30K_to_60K,Pct_60K_to_100K,Pct_100K_to_125K,Pct_125K_150K,Pct_150K_to_200K,Pct_200K_to_250K,Pct_250K_or_more,POINT_X,POINT_Y,LI_greater,LI_pct_ind
1,813,1,Lee Ridge,0.898035537,216304000,266056.5806,WARD 11,95,110,94,29,11,19,2,2,623,0.2624309,0.5662984,0.8259668,0.9364641,0.9889503,0.9944751,0.6324873,0.3675127,362,0.9060773,0.5662984,0.3701657,0.0635359,1,0.047515491,0.000121528,0.3038674,0.2596685,0.0801105,0.0303867,0.0524862,0.0055249,0.0055249,-113.44452,53.46951423,TRUE,2
2,1108,2,Hillview,1.102185648,341884000,308559.5668,WARD 11,106,199,211,98,49,42,22,6,616,0.1446112,0.4160982,0.7039564,0.904502,0.9618008,0.9918144,0.4566346,0.5433655,733,0.8376535,0.4160982,0.4884038,0.095498,0,0.05572411,0.000149155,0.271487,0.2878581,0.1336971,0.0668486,0.0572988,0.0300136,0.0081855,-113.4289598,53.46948166,FALSE,2
3,781,3,Idylwylde,0.664832905,224918500,287987.8361,WARD 8,151,147,129,54,21,19,14,8,391,0.2780847,0.548803,0.786372,0.9244936,0.9594843,0.985267,0.4186296,0.5813705,543,0.8858195,0.548803,0.3756906,0.0755064,1,0.042019451,9.01E-05,0.2707182,0.2375691,0.0994475,0.038674,0.0349908,0.0257827,0.014733,-113.4493234,53.52171154,TRUE,2
4,2446,4,Ottewell,2.584236919,873544500,357131.8479,WARD 8,200,314,361,181,135,132,45,33,1088,0.1427552,0.3668808,0.6245539,0.8501071,0.9443255,0.9764454,0.4371233,0.5628766,1401,0.7537473,0.3668808,0.4832263,0.1498929,0,0.082021786,0.000350225,0.2241256,0.2576731,0.1291934,0.0963597,0.0942184,0.0321199,0.0235546,-113.4296117,53.53164832,FALSE,1
5,1170,5,York,1.188834252,307700000,262991.453,WARD 4,148,297,271,103,65,42,14,5,510,0.1566138,0.4708995,0.757672,0.9354497,0.9798942,0.994709,0.3505155,0.6494845,945,0.8666667,0.4708995,0.4645503,0.0645503,1,0.063713147,0.000161384,0.3142857,0.2867725,0.1089947,0.0687831,0.0444444,0.0148148,0.005291,-113.4295149,53.60285955,TRUE,2
6,1653,6,Callingwood South,0.772228218,235979000,142758.0157,WARD 5,265,439,344,89,29,16,7,4,1646,0.2221291,0.590109,0.8784577,0.977368,0.9907795,0.9966471,0.5797816,0.4202184,1193,0.9530595,0.590109,0.387259,0.022632,1,0.043790422,0.000104582,0.3679799,0.2883487,0.0746018,0.0243085,0.0134116,0.0058676,0.0033529,-113.6228453,53.50065609,TRUE,2
7,1259,7,Empire Park,1.072123643,198751500,157864.5751,WARD 10,128,385,345,79,19,10,3,1,1330,0.1319588,0.528866,0.8845361,0.985567,0.9958763,0.9989691,0.5782609,0.4217391,970,0.9659794,0.528866,0.456701,0.014433,1,0.056109311,0.000145141,0.3969072,0.3556701,0.0814433,0.0195876,0.0103093,0.0030928,0.0010309,-113.5051116,53.4848479,TRUE,2
8,1522,8,Meadowlark Park,1.108866874,410678500,269828.1866,WARD 1,124,315,197,114,46,47,10,5,321,0.1445221,0.511655,0.7412587,0.9277389,0.9825175,0.9941725,0.2722646,0.7277353,858,0.8741259,0.511655,0.4160839,0.0722611,1,0.049029589,0.000150259,0.3671329,0.2296037,0.1328671,0.0536131,0.0547786,0.011655,0.0058275,-113.5965567,53.52551296,TRUE,2
9,706,9,Summerlea,1.100465963,180135500,255149.4334,WARD 1,94,194,157,42,36,23,12,4,354,0.1672598,0.5124555,0.7918149,0.930605,0.9715303,0.9928825,0.3864629,0.6135371,562,0.8665481,0.5124555,0.4181495,0.069395,1,0.050516259,0.00014912,0.3451957,0.2793594,0.0747331,0.0640569,0.0409253,0.0213523,0.0071174,-113.6219652,53.52532309,TRUE,2
10,1072,10,Grovenor,0.920762563,425973500,397363.3396,WARD 6,69,127,140,70,57,46,28,25,376,0.1227758,0.3487544,0.5978647,0.8238434,0.9056939,0.955516,0.4008529,0.5991471,562,0.7224199,0.3487544,0.475089,0.1761566,0,0.046198997,0.000124828,0.2259786,0.2491103,0.1245552,0.1014235,0.0818505,0.0498221,0.044484,-113.5716064,53.54592903,FALSE,1
11,1535,11,Britannia Youngstown,1.638283481,368626500,240147.557,WARD 1,207,223,190,67,31,17,2,5,1475,0.2789758,0.5795148,0.8355795,0.967655,0.990566,0.9932615,0.6653135,0.3346865,742,0.925876,0.5795148,0.3881402,0.032345,1,0.065477783,0.000222104,0.3005391,0.2560647,0.0902965,0.041779,0.0229111,0.0026954,0.0067385,-113.6015738,53.54602083,TRUE,2
12,2130,12,Glenwood,1.772615097,457686000,214876.0563,WARD 1,404,435,251,83,34,26,6,2,943,0.3255439,0.6760677,0.8783239,0.9726027,0.9935536,0.9983884,0.4317766,0.5682234,1241,0.9452055,0.6760677,0.296535,0.0273973,1,0.068820796,0.000240262,0.3505238,0.2022562,0.0668815,0.0273973,0.0209508,0.0048348,0.0016116,-113.6026803,53.5364378,TRUE,3
13,1622,13,Evansdale,1.568066663,431495500,266026.8187,WARD 3,298,460,223,75,44,26,11,5,974,0.2609457,0.6637478,0.8590193,0.9632224,0.9859895,0.9956217,0.4603025,0.5396975,1142,0.9246935,0.6637478,0.2994746,0.0367776,1,0.065140133,0.000212905,0.4028021,0.1952714,0.0656743,0.0385289,0.0227671,0.0096322,0.0043783,-113.4790517,53.61076326,TRUE,3
14,1106,14,Northmount,1.224062074,322729000,291798.3725,WARD 7,65,125,129,57,24,25,7,3,866,0.1494253,0.4367816,0.7333333,0.9195402,0.9770115,0.9931034,0.6656418,0.3343582,435,0.8643678,0.4367816,0.4827586,0.0804598,0,0.063642901,0.000166168,0.2873563,0.2965517,0.1310345,0.0551724,0.0574713,0.016092,0.0068966,-113.4796586,53.60295449,FALSE,2
15,486,15,Prince Rupert,1.144949478,144065000,296430.0412,WARD 2,31,27,37,11,9,10,2,3,517,0.2384615,0.4461538,0.7307692,0.8846154,0.9615384,0.976923,0.7990726,0.2009274,130,0.8153846,0.4461538,0.4384615,0.1153846,1,0.067783478,0.000155282,0.2076923,0.2846154,0.0846154,0.0692308,0.0769231,0.0153846,0.0230769,-113.5219007,53.5627184,TRUE,2
16,595,16,Spruce Avenue,1.214704565,166350500,279580.6723,WARD 2,92,98,62,21,14,14,5,2,449,0.2987013,0.6168831,0.8181818,0.9318182,0.9772727,0.9935065,0.5931308,0.4068692,308,0.8863636,0.6168831,0.3149351,0.0681818,1,0.057539397,0.000164748,0.3181818,0.2012987,0.0681818,0.0454545,0.0454545,0.0162338,0.0064935,-113.4993249,53.56414287,TRUE,3
17,767,17,Westwood,0.983008029,195052500,254305.7366,WARD 2,381,321,124,36,22,14,2,3,924,0.4219269,0.7774087,0.9147287,0.978959,0.9944629,0.9966778,0.5057471,0.4942529,903,0.9545958,0.7774087,0.2015504,0.021041,1,0.046873619,0.00013336,0.3554817,0.13732,0.0398671,0.0243632,0.0155039,0.0022148,0.0033223,-113.4982738,53.57612192,TRUE,3
18,619,18,High Park,0.719230112,200146000,323337.6414,WARD 1,42,61,50,34,13,7,3,3,450,0.1971831,0.4835681,0.7183099,0.9389671,0.971831,0.9859155,0.6787331,0.321267,213,0.8779343,0.4835681,0.4553991,0.0610329,1,0.040481531,9.75E-05,0.286385,0.2347418,0.1596244,0.0610329,0.0328638,0.0140845,0.0140845,-113.5841964,53.55497783,TRUE,2
