idx,name,census_type,census_type_value,pct_category,pct,LI_greater_than_MC,Pct_LowIncome_less_than_60K,Pct_MiddleClass_60K_to_150K,Pct_Over_150K,POINT_X,POINT_Y,Assessed_Value_Sum,Avg_Assessed_Value
0,Lee Ridge,c2016_Less_than_30K,95,Pct_less_than_30k,0.2624309,1,0.5662984,0.3701657,0.0635359,-113.44452,53.46951423,216304000,266056.5806
1,Lee Ridge,c2016_30K_to_60K,110,Pct_30K_to_60K,0.3038674,1,0.5662984,0.3701657,0.0635359,-113.44452,53.46951423,216304000,266056.5806
2,Lee Ridge,c2016_60K_to_100K,94,Pct_60K_to_100K,0.2596685,1,0.5662984,0.3701657,0.0635359,-113.44452,53.46951423,216304000,266056.5806
3,Lee Ridge,c2016_100K_to_125K,29,Pct_100K_to_125K,0.0801105,1,0.5662984,0.3701657,0.0635359,-113.44452,53.46951423,216304000,266056.5806
4,Lee Ridge,c2016_125K_to_150K,11,Pct_125K_150K,0.0303867,1,0.5662984,0.3701657,0.0635359,-113.44452,53.46951423,216304000,266056.5806
5,Lee Ridge,c2016_150K_to_200K,19,Pct_150K_to_200K,0.0524862,1,0.5662984,0.3701657,0.0635359,-113.44452,53.46951423,216304000,266056.5806
6,Lee Ridge,c2016_200K_to_250K,2,Pct_200K_to_250K,0.0055249,1,0.5662984,0.3701657,0.0635359,-113.44452,53.46951423,216304000,266056.5806
7,Lee Ridge,c2016_250K_or_more,2,Pct_250K_or_more,0.0055249,1,0.5662984,0.3701657,0.0635359,-113.44452,53.46951423,216304000,266056.5806
8,Hillview,c2016_Less_than_30K,106,Pct_less_than_30k,0.1446112,0,0.4160982,0.4884038,0.095498,-113.4289598,53.46948166,341884000,308559.5668
9,Hillview,c2016_30K_to_60K,199,Pct_30K_to_60K,0.271487,0,0.4160982,0.4884038,0.095498,-113.4289598,53.46948166,341884000,308559.5668
10,Hillview,c2016_60K_to_100K,211,Pct_60K_to_100K,0.2878581,0,0.4160982,0.4884038,0.095498,-113.4289598,53.46948166,341884000,308559.5668
11,Hillview,c2016_100K_to_125K,98,Pct_100K_to_125K,0.1336971,0,0.4160982,0.4884038,0.095498,-113.4289598,53.46948166,341884000,308559.5668
12,Hillview,c2016_125K_to_150K,49,Pct_125K_150K,0.0668486,0,0.4160982,0.4884038,0.095498,-113.4289598,53.46948166,341884000,308559.5668
13,Hillview,c2016_150K_to_200K,42,Pct_150K_to_200K,0.0572988,0,0.4160982,0.4884038,0.095498,-113.4289598,53.46948166,341884000,308559.5668
14,Hillview,c2016_200K_to_250K,22,Pct_200K_to_250K,0.0300136,0,0.4160982,0.4884038,0.095498,-113.4289598,53.46948166,341884000,308559.5668
15,Hillview,c2016_250K_or_more,6,Pct_250K_or_more,0.0081855,0,0.4160982,0.4884038,0.095498,-113.4289598,53.46948166,341884000,308559.5668
16,Idylwylde,c2016_Less_than_30K,151,Pct_less_than_30k,0.2780847,1,0.548803,0.3756906,0.0755064,-113.4493234,53.52171154,224918500,287987.8361
17,Idylwylde,c2016_30K_to_60K,147,Pct_30K_to_60K,0.2707182,1,0.548803,0.3756906,0.0755064,-113.4493234,53.52171154,224918500,287987.8361
18,Idylwylde,c2016_60K_to_100K,129,Pct_60K_to_100K,0.2375691,1,0.548803,0.3756906,0.0755064,-113.4493234,53.52171154,224918500,287987.8361
19,Idylwylde,c2016_100K_to_125K,54,Pct_100K_to_125K,0.0994475,1,0.548803,0.3756906,0.0755064,-113.4493234,53.52171154,224918500,287987.8361
20,Idylwylde,c2016_125K_to_150K,21,Pct_125K_150K,0.038674,1,0.548803,0.3756906,0.0755064,-113.4493234,53.52171154,224918500,287987.8361
